inst,density,t,rep,J,Res,composite,return_code,timeout,ok
RC102,d75,0.6,1,302.0423185438829,7.340946,303.5105077438829,0,False,True
RC102,d75,0.6,2,302.0423185438829,7.823644,303.6070473438829,0,False,True
RC103,d75,0.6,0,80.08211389495256,15.074984,83.09711069495256,0,False,True
RC103,d75,0.6,1,80.08211389495256,15.404645,83.16304289495255,0,False,True
RC103,d75,0.6,2,80.08211389495256,15.011211,83.08435609495255,0,False,True
RC104,d75,0.6,0,119.22086705512665,5.966431,120.41415325512665,0,False,True
RC104,d75,0.6,1,119.22086705512665,6.007401,120.42234725512665,0,False,True
RC104,d75,0.6,2,119.22086705512665,6.018901,120.42464725512664,0,False,True
RC105,d75,0.6,0,310.7816720394007,4.871549,311.7559818394007,0,False,True
RC105,d75,0.6,1,310.7816720394007,5.541623,311.8899966394007,0,False,True
RC105,d75,0.6,2,310.7816720394007,5.150672,311.8118064394007,0,False,True
